object_id,title,object_name,culture,period,date_begin,date_end,country,region,city,geography,medium,classification,description,tags,image_url,image_small_url,object_url,is_public_domain,source,search_keywords,department,dynasty,reign,credit_line,cultural_context_reason,cultural_context,text_for_embedding,mid_year,visual_x,visual_y,semantic_x,semantic_y
24316,Sacrificial Sword (Rāmdāo),Sacrificial Sword (Rāmdāo),"Indian, Bengal (?) or Nepalese",,1801,1900,Nepal,,,Possibly from,"Steel, wood, brass",Shafted Weapons,"Bequest of George C. Stone, 1935",,https://images.metmuseum.org/CRDImages/aa/original/36.25.1284_018AA2015.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1284_018AA2015.jpg,https://www.metmuseum.org/art/collection/search/24316,True,The Metropolitan Museum of Art Collection API,Nepal; India,Arms and Armor,,,"Bequest of George C. Stone, 1935",geography matched Himalayan indicators,Himalayan,"Title: Sacrificial Sword (Rāmdāo) Object type: Sacrificial Sword (Rāmdāo) Culture: Indian, Bengal (?) or Nepalese Country: Nepal Medium: Steel, wood, brass Classification: Shafted Weapons",1850.5,0.21306087,-0.087412916,-0.012811174,0.1427756
24317,Sacrificial Sword (Kartrī or Churī),Sacrificial sword (kartrī or churī),"Indian, Bengal (?) or Nepalese",,1801,1900,Nepal,,,Possibly from,"Steel, brass, wood",Knives,"Bequest of George C. Stone, 1935",Birds; Eyes,https://images.metmuseum.org/CRDImages/aa/original/36.25.1285_002AA2016.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1285_002AA2016.jpg,https://www.metmuseum.org/art/collection/search/24317,True,The Metropolitan Museum of Art Collection API,Nepal; India,Arms and Armor,,,"Bequest of George C. Stone, 1935",geography matched Himalayan indicators,Himalayan,"Title: Sacrificial Sword (Kartrī or Churī) Object type: Sacrificial sword (kartrī or churī) Culture: Indian, Bengal (?) or Nepalese Country: Nepal Medium: Steel, brass, wood Classification: Knives Tags: Birds; Eyes",1850.5,0.15151967,-0.1361957,0.025669517,0.1711569
24318,Sacrificial Knife,Sacrificial knife,"Indian, Bengal (?) or Nepalese",,1801,1900,Nepal,,,Possibly from,"Steel, brass, wood",Knives,"Bequest of George C. Stone, 1935",Eyes,https://images.metmuseum.org/CRDImages/aa/original/36.25.1286_002AA2016.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1286_002AA2016.jpg,https://www.metmuseum.org/art/collection/search/24318,True,The Metropolitan Museum of Art Collection API,Nepal; India,Arms and Armor,,,"Bequest of George C. Stone, 1935",geography matched Himalayan indicators,Himalayan,"Title: Sacrificial Knife Object type: Sacrificial knife Culture: Indian, Bengal (?) or Nepalese Country: Nepal Medium: Steel, brass, wood Classification: Knives Tags: Eyes",1850.5,0.15684175,-0.061199844,-0.06343413,0.14721893
36033,One hundred water buffalo,Handscroll,China,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,1200,1299,,,,,Handscroll; ink on paper,Paintings,"Rogers Fund, 1918",Buffalos; Landscapes,https://images.metmuseum.org/CRDImages/as/original/DP166575_CRD.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP166575_CRD.jpg,https://www.metmuseum.org/art/collection/search/36033,True,The Metropolitan Museum of Art Collection API,Buddhist; China,Asian Art,,,"Rogers Fund, 1918",insufficient or ambiguous contextual evidence,Other,Title: One hundred water buffalo Object type: Handscroll Culture: China Period: Southern Song (1127–1279) or Yuan (1271–1368) dynasty Medium: Handscroll; ink on paper Classification: Paintings Tags: Buffalos; Landscapes,1249.5,-0.25192934,-0.24094428,0.17260498,-0.029247206
36069,Mahasthamaprapta Bodhisattva,Hanging scroll,China,Qing dynasty (1644–1911),1667,1733,,,,,Hanging scroll; ink and color on silk,Paintings,"Gift of the Estate of Lillian Genth, 1953",Lions; Bodhisattvas,https://images.metmuseum.org/CRDImages/as/original/DP-41816-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41816-002.jpg,https://www.metmuseum.org/art/collection/search/36069,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Vajra; Ritual; China,Asian Art,,,"Gift of the Estate of Lillian Genth, 1953",insufficient or ambiguous contextual evidence,Other,Title: Mahasthamaprapta Bodhisattva Object type: Hanging scroll Culture: China Period: Qing dynasty (1644–1911) Medium: Hanging scroll; ink and color on silk Classification: Paintings Tags: Lions; Bodhisattvas,1700.0,-0.2152851,-0.08185619,0.44265202,-0.095729955
36131,Landscapes with poems,Album,China,Qing dynasty (1644–1911),1688,1688,,,,,Fifteen leaves from an album (1980.516.2a–c and 1981.4.1a–o) of eighteen leaves,Paintings,"Gift of Douglas Dillon, 1981",Poetry; Landscapes,https://images.metmuseum.org/CRDImages/as/original/1981_4_1a.jpg,https://images.metmuseum.org/CRDImages/as/web-large/1981_4_1a.jpg,https://www.metmuseum.org/art/collection/search/36131,True,The Metropolitan Museum of Art Collection API,Buddha; China,Asian Art,,,"Gift of Douglas Dillon, 1981",insufficient or ambiguous contextual evidence,Other,Title: Landscapes with poems Object type: Album Culture: China Period: Qing dynasty (1644–1911) Medium: Fifteen leaves from an album (1980.516.2a–c and 1981.4.1a–o) of eighteen leaves Classification: Paintings Tags: Poetry; Landscapes,1688.0,-0.21524096,-0.16564086,0.18646722,-0.04083594
36437,Lotus and waterbirds,Hanging scrolls,China,Yuan dynasty (1271–1368),1290,1310,,,,,Pair of hanging scrolls; ink and color on silk,Paintings,"Purchase, The Dillon Fund Gift, 1988",Ducks; Lotuses,https://images.metmuseum.org/CRDImages/as/original/DP-36424-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-36424-001.jpg,https://www.metmuseum.org/art/collection/search/36437,True,The Metropolitan Museum of Art Collection API,Buddhist; India; China,Asian Art,,,"Purchase, The Dillon Fund Gift, 1988",insufficient or ambiguous contextual evidence,Other,Title: Lotus and waterbirds Object type: Hanging scrolls Culture: China Period: Yuan dynasty (1271–1368) Medium: Pair of hanging scrolls; ink and color on silk Classification: Paintings Tags: Ducks; Lotuses,1300.0,-0.29696152,-0.21614234,0.30496606,-0.094628125
37804,"Mandala of Manjuvajra, Tantric Form of the Bodhisattva Manjushri",Thangka,Tibet,,1371,1399,,,,,Distemper on cloth,Paintings,"Rogers Fund, 1977",Buddhism; Bodhisattvas; Manjushri,https://images.metmuseum.org/CRDImages/as/original/DP340770.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP340770.jpg,https://www.metmuseum.org/art/collection/search/37804,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Tara; Vajra; Mandala; Ritual; Tibet; China,Asian Art,,,"Rogers Fund, 1977",insufficient or ambiguous contextual evidence,Other,"Title: Mandala of Manjuvajra, Tantric Form of the Bodhisattva Manjushri Object type: Thangka Culture: Tibet Medium: Distemper on cloth Classification: Paintings Tags: Buddhism; Bodhisattvas; Manjushri",1385.0,-0.08820185,-0.09913451,0.24965084,-0.057801116
37807,"Yamantaka, Destroyer of the God of Death",Thangka,Tibet,,1700,1733,,,,,Distemper on cloth,Paintings,"Purchase, Florance Waterbury Bequest, 1969",Skulls; Men; Buddhism; Deities,https://images.metmuseum.org/CRDImages/as/original/DP-38893-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-38893-001.jpg,https://www.metmuseum.org/art/collection/search/37807,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Tibet; China,Asian Art,,,"Purchase, Florance Waterbury Bequest, 1969",insufficient or ambiguous contextual evidence,Other,"Title: Yamantaka, Destroyer of the God of Death Object type: Thangka Culture: Tibet Medium: Distemper on cloth Classification: Paintings Tags: Skulls; Men; Buddhism; Deities",1716.5,-0.24080461,-0.21915273,0.15309806,-0.094778545
37857,Bhairavi Ragini: Folio from a ragamala series (Garland of Musical Modes),Folio,"India (Himachal Pradesh, Mandi)",,1630,1660,,,,,"Opaque watercolor, silver, gold and ink on paper",Paintings,"Rogers Fund, 1958",Women; Lotuses; Trees,https://images.metmuseum.org/CRDImages/as/original/DP153179.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP153179.jpg,https://www.metmuseum.org/art/collection/search/37857,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Rogers Fund, 1958",insufficient or ambiguous contextual evidence,Other,"Title: Bhairavi Ragini: Folio from a ragamala series (Garland of Musical Modes) Object type: Folio Culture: India (Himachal Pradesh, Mandi) Medium: Opaque watercolor, silver, gold and ink on paper Classification: Paintings Tags: Women; Lotuses; Trees",1645.0,-0.38281536,-0.122970946,0.037642885,-0.042407602
