object_id,title,object_name,culture,period,date_begin,date_end,country,region,city,geography,medium,classification,description,tags,image_url,image_small_url,object_url,is_public_domain,source,search_keywords,department,dynasty,reign,credit_line
78191,Buddha Shakyamuni,Figure,Central Tibet,,1100,1199,,,,,Brass with colored pigments,Sculpture,"Zimmerman Family Collection, Purchase, Lila Acheson Wallace, Oscar L. Tang, Anthony W. and Lulu C. Wang and Annette de la Renta Gifts, 2012",Buddhism; Buddha,https://images.metmuseum.org/CRDImages/as/original/DP-15581-015.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-15581-015.jpg,https://www.metmuseum.org/art/collection/search/78191,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Tibet; China,Asian Art,,,"Zimmerman Family Collection, Purchase, Lila Acheson Wallace, Oscar L. Tang, Anthony W. and Lulu C. Wang and Annette de la Renta Gifts, 2012"
42733,Buddha Maitreya (Mile),Figure,China,Northern Wei dynasty (386–534),486,486,,,,,Gilt bronze with traces of pigment; piece-mold cast,Sculpture,"John Stewart Kennedy Fund, 1926",Buddhism; Buddha; Maitreya,https://images.metmuseum.org/CRDImages/as/original/DP170102.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP170102.jpg,https://www.metmuseum.org/art/collection/search/42733,True,The Metropolitan Museum of Art Collection API,Buddha; Bodhisattva; China,Asian Art,,,"John Stewart Kennedy Fund, 1926"
38950,Bodhisattva Avalokiteshvara,Figure,"Plai Bat II Temple, Lahan Sai District, Buriram Province, Thailand",,750,775,,,,,Copper alloy inlaid with silver and glass or obsidian,Sculpture,"Rogers Fund, 1967",Buddhism; Avalokiteshvara; Bodhisattvas,https://images.metmuseum.org/CRDImages/as/original/LK_DP316445r3_25AA.jpg,https://images.metmuseum.org/CRDImages/as/web-large/LK_DP316445r3_25AA.jpg,https://www.metmuseum.org/art/collection/search/38950,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara,Asian Art,,,"Rogers Fund, 1967"
38634,Crowned  Bodhisattva,Bust,"North India (Uttar Pradesh, Mathura)",late Kushan dynasty,200,323,,,,,Sandstone,Sculpture,"Purchase, The Fred Eychaner Charitable Fund Gift, in honor of John Guy, 2016",Kushan; Mathura; Buddhism; Bodhisattvas,https://images.metmuseum.org/CRDImages/as/original/DP701395.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP701395.jpg,https://www.metmuseum.org/art/collection/search/38634,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; India,Asian Art,,,"Purchase, The Fred Eychaner Charitable Fund Gift, in honor of John Guy, 2016"
193451,Good Shepherd,Statuette,,,1600,1799,,,,,"Ivory, with traces of gilding and polychromy",Sculpture-Miniature,"Gift of J. Pierpont Morgan, 1917",Animals; Birds; Buddha; Virgin Mary; Shepherds,https://images.metmuseum.org/CRDImages/es/original/38227.jpg,https://images.metmuseum.org/CRDImages/es/web-large/38227.jpg,https://www.metmuseum.org/art/collection/search/193451,True,The Metropolitan Museum of Art Collection API,Buddha; India,European Sculpture and Decorative Arts,,,"Gift of J. Pierpont Morgan, 1917"
53176,"Fudō Myōō, the Immovable Wisdom King (Achala Vidyaraja)",Figure,Japan,Kamakura period (1185–1333),1100,1400,,,,,"Japanese cypress with lacquer, color, gold, cut gold leaf (kirikane), and inlaid crystal eyes",Sculpture,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Swords; Men,https://images.metmuseum.org/CRDImages/as/original/DP-22243-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-22243-001.jpg,https://www.metmuseum.org/art/collection/search/53176,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Sutra; Ritual; India; China,Asian Art,,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)","Papyrus, funerary, Book of the Dead, Imouthes, Imhotep, Imuthes",,Early Ptolemaic Period,-332,-200,,Middle Egypt,,Probably from,"Papyrus, ink",,"Gift of  Edward S. Harkness, 1935",Birds; Lions; Boats; Hieratic,https://images.metmuseum.org/CRDImages/eg/original/2-35.9.20a–w_EGDP014589-4594.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/2-35.9.20a–w_EGDP014589-4594.jpg,https://www.metmuseum.org/art/collection/search/551786,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Egyptian Art,,,"Gift of  Edward S. Harkness, 1935"
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",Print,,,1885,1895,,,,,Type-metal engraving and letterpress,Prints,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946",Skeletons; Women,https://images.metmuseum.org/CRDImages/dp/original/DP865112.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP865112.jpg,https://www.metmuseum.org/art/collection/search/729644,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946"
472562,The Fieschi Morgan Staurotheke,Reliquary,Byzantine,,800,835,,,Constantinople (?),Made in,"Gilded silver, gold, enamel worked in cloisonné, and niello",Enamels-Cloisonné,"Gift of J. Pierpont Morgan, 1917",Christ; Virgin Mary; Crucifixion; Saints,https://images.metmuseum.org/CRDImages/md/original/DT119.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT119.jpg,https://www.metmuseum.org/art/collection/search/472562,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Medieval Art,,,"Gift of J. Pierpont Morgan, 1917"
53660,Ten Verses on Oxherding,Handscroll,Japan,Kamakura period (1185–1333),1185,1350,,,,,Handscroll; ink and color on paper,Paintings,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Men; Ox; Parables,https://images.metmuseum.org/CRDImages/as/original/2015_300_10_Burke_website.jpg,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_10_Burke_website.jpg,https://www.metmuseum.org/art/collection/search/53660,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Asian Art,,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015"
