column,missing_count,missing_percentage
object_id,0,0.0
title,0,0.0
object_name,3,0.6134969325153374
culture,199,40.695296523517385
period,339,69.32515337423312
date_begin,0,0.0
date_end,0,0.0
country,308,62.985685071574636
region,403,82.41308793456032
city,456,93.25153374233128
geography,399,81.59509202453987
medium,0,0.0
classification,33,6.748466257668712
description,1,0.2044989775051125
tags,129,26.380368098159508
image_url,51,10.429447852760736
image_small_url,51,10.429447852760736
object_url,0,0.0
is_public_domain,0,0.0
source,0,0.0
search_keywords,0,0.0
department,0,0.0
dynasty,476,97.34151329243353
reign,480,98.15950920245399
credit_line,1,0.2044989775051125
cultural_context_reason,0,0.0
cultural_context,0,0.0
text_for_embedding,0,0.0
mid_year,4,0.81799591002045
