century,cultural_context,object_count
-2200,Other,1
-2000,Other,1
-1500,Other,3
-1300,Other,1
-1000,Other,1
-900,Other,3
-800,Other,2
-700,Other,2
-500,Other,1
-100,Other,2
0,Other,3
100,Other,1
200,Other,4
300,Other,4
400,Other,7
500,Other,3
600,Other,9
700,Other,14
800,Other,4
900,Other,6
1000,Other,11
1100,Other,9
1200,Other,13
1300,East_Asia,1
1300,Other,17
1400,East_Asia,1
1400,Other,28
1400,South_Asia,1
1500,Other,23
1500,South_Asia,8
1600,East_Asia,2
1600,Other,37
1600,South_Asia,13
1700,Other,23
1700,South_Asia,3
1800,East_Asia,1
1800,Himalayan,4
1800,Other,29
1800,South_Asia,1
